cell_specimen_id,axon.total_length,all_neurites.total_length,basal_dendrite.total_length,dendrite.total_length,dendrite.total_surface_area,axon.total_surface_area,all_neurites.total_surface_area,basal_dendrite.total_surface_area,dendrite.total_volume,axon.total_volume,all_neurites.total_volume,basal_dendrite.total_volume,dendrite.num_tips,axon.num_tips,all_neurites.num_tips,basal_dendrite.num_tips,dendrite.num_nodes,axon.num_nodes,all_neurites.num_nodes,basal_dendrite.num_nodes,dendrite.num_branches,axon.num_branches,all_neurites.num_branches,basal_dendrite.num_branches
847876759,81.1337641,3821.146205,2280.92219,3739.0701,5936.517852,58.31865749,7519.850904,3545.539029,777.3176049,3.335827208,3215.758005,440.9299233,39,1,40,25,2689,72,2762,1705,70,1,78,43
849535368,11874.85663,15522.40556,3646.299784,3646.299784,5628.996397,8854.941271,15403.7494,5628.996397,697.3384524,542.4527449,2845.460326,697.3384524,18,119,137,18,2648,7855,10504,2648,32,237,272,32
849607183,15809.53965,18045.29718,2234.580214,2234.580214,3577.670522,11364.97859,15783.93139,3577.670522,465.8881489,650.2290994,2362.348702,465.8881489,22,263,285,22,1518,11017,12536,1518,39,525,568,39
851016910,11639.86375,14263.99986,2623.34949,2623.34949,4960.604336,11523.33163,16887.23448,4960.604336,780.3456284,929.1287572,2195.598008,780.3456284,30,182,212,30,1820,8397,10218,1820,56,363,422,56
853882442,13211.8442,15090.48569,1878.641492,1878.641492,4153.894597,14197.58703,19993.69794,4153.894597,797.3870722,1242.657755,4699.786825,797.3870722,23,139,162,23,1291,8555,9847,1291,39,277,322,39
855275163,8296.3837,10560.51067,2262.681469,2262.681469,3520.819166,5963.41073,9856.411816,3520.819166,468.2206109,341.1070937,1399.699592,468.2206109,21,108,129,21,1554,5442,6997,1554,40,215,256,40
855357345,6528.998146,8244.279474,1715.281328,1715.281328,3996.536481,4696.058529,9731.083838,3996.536481,786.5486468,269.2788132,2588.307447,786.5486468,15,50,65,15,1051,3817,4869,1051,25,99,128,25
855791035,4464.151783,7190.982135,2726.224078,2726.224078,4535.034607,3210.313876,9554.676784,4535.034607,641.639828,183.8703831,5142.2028,641.639828,22,34,56,22,1583,2676,4260,1583,40,67,110,40
857223181,6735.575779,9826.468857,3090.893078,3090.893078,5505.862015,4844.028505,12161.38164,5505.862015,823.4371313,277.6059895,4925.853245,823.4371313,22,48,70,22,1868,3958,5827,1868,40,95,138,40
857296784,10554.49522,13197.95454,2643.459327,2643.459327,4260.361529,7598.815776,13368.82675,4260.361529,550.4737651,439.9302371,3810.827251,550.4737651,22,129,151,22,2142,8240,10383,2142,39,257,300,39
